budget_line_id,grant_id,line_name,line_code,category,sub_category,approved_amount,revised_amount,currency,flexibility,donor_line_reference,notes
BDL-0137,GRT-2022-004,Training Materials and Supplies,3.1,Training,Training Materials and Supplies,9552.63,10176.3,TZS,Flexible,GRT-2022-004-BL-19,Approved budget line 3.1 for GRT-2022-004
BDL-0138,GRT-2022-004,Vehicle Fuel and Running Costs,2.2,Travel,Vehicle Fuel and Running Costs,16837.9,16837.9,TZS,Flexible,GRT-2022-004-BL-20,Approved budget line 2.2 for GRT-2022-004
BDL-0139,GRT-2023-005,International Staff Salaries,1.1,Personnel,International Staff Salaries,43368799.27,43368799.27,TZS,Prior Approval Required,GRT-2023-005-BL-01,Approved budget line 1.1 for GRT-2023-005
BDL-0140,GRT-2023-005,Vehicles,5.2,Equipment,Vehicles,21627262.98,21627262.98,TZS,Prior Approval Required,GRT-2023-005-BL-02,Approved budget line 5.2 for GRT-2023-005
BDL-0141,GRT-2023-005,Office and Programme Stationery,4.2,Programme Supplies,Office and Programme Stationery,14912364.18,14912364.18,TZS,Flexible,GRT-2023-005-BL-03,Approved budget line 4.2 for GRT-2023-005
BDL-0142,GRT-2023-005,ICT Equipment and Software,5.0,Equipment,ICT Equipment and Software,10187579.61,10187579.61,TZS,Prior Approval Required,GRT-2023-005-BL-04,Approved budget line 5.0 for GRT-2023-005
BDL-0143,GRT-2023-005,Staff Benefits and Social Security,1.3,Personnel,Staff Benefits and Social Security,42728706.39,42728706.39,TZS,Restricted,GRT-2023-005-BL-05,Approved budget line 1.3 for GRT-2023-005
BDL-0144,GRT-2023-005,Construction Materials,9.1,Construction,Construction Materials,26028583.68,26028583.68,TZS,Prior Approval Required,GRT-2023-005-BL-06,Approved budget line 9.1 for GRT-2023-005
BDL-0145,GRT-2023-005,Furniture and Fittings,5.1,Equipment,Furniture and Fittings,11965486.14,11965486.14,TZS,Prior Approval Required,GRT-2023-005-BL-07,Approved budget line 5.1 for GRT-2023-005
BDL-0146,GRT-2023-005,Consultancy Fees,1.2,Personnel,Consultancy Fees,38754102.59,38754102.59,TZS,Flexible,GRT-2023-005-BL-08,Approved budget line 1.2 for GRT-2023-005
BDL-0147,GRT-2023-005,Monitoring and Evaluation,6.1,Programme Activities,Monitoring and Evaluation,16066904.53,16066904.53,TZS,Flexible,GRT-2023-005-BL-09,Approved budget line 6.1 for GRT-2023-005
BDL-0148,GRT-2023-005,Medical and Health Supplies,4.0,Programme Supplies,Medical and Health Supplies,6386476.29,6386476.29,TZS,Restricted,GRT-2023-005-BL-10,Approved budget line 4.0 for GRT-2023-005
BDL-0149,GRT-2023-005,Facilitator and Expert Fees,3.2,Training,Facilitator and Expert Fees,14093067.04,14093067.04,TZS,Flexible,GRT-2023-005-BL-11,Approved budget line 3.2 for GRT-2023-005
BDL-0150,GRT-2023-005,Community Mobilisation Activities,6.0,Programme Activities,Community Mobilisation Activities,17273746.86,15198781.64,TZS,Flexible,GRT-2023-005-BL-12,Approved budget line 6.0 for GRT-2023-005
BDL-0151,GRT-2023-005,Sub-grants to Partners,10.0,Sub-grants,Sub-grants to Partners,12618531.61,12618531.61,TZS,Prior Approval Required,GRT-2023-005-BL-13,Approved budget line 10.0 for GRT-2023-005
BDL-0152,GRT-2023-005,Communication and Internet,8.1,Operating Costs,Communication and Internet,17099533.09,17099533.09,TZS,Flexible,GRT-2023-005-BL-14,Approved budget line 8.1 for GRT-2023-005
BDL-0153,GRT-2023-005,Domestic Travel and Accommodation,2.0,Travel,Domestic Travel and Accommodation,10888855.75,10888855.75,TZS,Flexible,GRT-2023-005-BL-15,Approved budget line 2.0 for GRT-2023-005
BDL-0154,GRT-2024-002,Communication and Internet,8.1,Operating Costs,Communication and Internet,40413.76,40413.76,USD,Flexible,GRT-2024-002-BL-01,Approved budget line 8.1 for GRT-2024-002
BDL-0155,GRT-2024-002,Staff Benefits and Social Security,1.3,Personnel,Staff Benefits and Social Security,188607.27,202113.48,USD,Restricted,GRT-2024-002-BL-02,Approved budget line 1.3 for GRT-2024-002
BDL-0156,GRT-2024-002,ICT Equipment and Software,5.0,Equipment,ICT Equipment and Software,52322.85,52322.85,USD,Prior Approval Required,GRT-2024-002-BL-03,Approved budget line 5.0 for GRT-2024-002
BDL-0157,GRT-2024-002,Agricultural Inputs and Seeds,4.1,Programme Supplies,Agricultural Inputs and Seeds,65764.69,65764.69,USD,Restricted,GRT-2024-002-BL-04,Approved budget line 4.1 for GRT-2024-002
BDL-0158,GRT-2024-002,Civil Works and Construction,9.0,Construction,Civil Works and Construction,158100.14,158100.14,USD,Prior Approval Required,GRT-2024-002-BL-05,Approved budget line 9.0 for GRT-2024-002
BDL-0159,GRT-2024-002,International Staff Salaries,1.1,Personnel,International Staff Salaries,208974.89,200422.19,USD,Prior Approval Required,GRT-2024-002-BL-06,Approved budget line 1.1 for GRT-2024-002
BDL-0160,GRT-2024-002,Facilitator and Expert Fees,3.2,Training,Facilitator and Expert Fees,66410.8,57672.01,USD,Flexible,GRT-2024-002-BL-07,Approved budget line 3.2 for GRT-2024-002
BDL-0161,GRT-2024-002,Advocacy and Communication,6.2,Programme Activities,Advocacy and Communication,54598.89,54598.89,USD,Flexible,GRT-2024-002-BL-08,Approved budget line 6.2 for GRT-2024-002
BDL-0162,GRT-2024-002,Sub-grants to Partners,10.0,Sub-grants,Sub-grants to Partners,56278.29,56278.29,USD,Prior Approval Required,GRT-2024-002-BL-09,Approved budget line 10.0 for GRT-2024-002
BDL-0163,GRT-2024-002,Construction Materials,9.1,Construction,Construction Materials,79403.36,79403.36,USD,Prior Approval Required,GRT-2024-002-BL-10,Approved budget line 9.1 for GRT-2024-002
BDL-0164,GRT-2024-002,Monitoring and Evaluation,6.1,Programme Activities,Monitoring and Evaluation,72791.33,72791.33,USD,Flexible,GRT-2024-002-BL-11,Approved budget line 6.1 for GRT-2024-002
BDL-0165,GRT-2024-002,Training Materials and Supplies,3.1,Training,Training Materials and Supplies,67047.02,67047.02,USD,Flexible,GRT-2024-002-BL-12,Approved budget line 3.1 for GRT-2024-002
BDL-0166,GRT-2024-002,Vehicles,5.2,Equipment,Vehicles,66041.51,66041.51,USD,Prior Approval Required,GRT-2024-002-BL-13,Approved budget line 5.2 for GRT-2024-002
BDL-0167,GRT-2024-002,Consultancy Fees,1.2,Personnel,Consultancy Fees,132658.59,132658.59,USD,Flexible,GRT-2024-002-BL-14,Approved budget line 1.2 for GRT-2024-002
BDL-0168,GRT-2024-002,Medical and Health Supplies,4.0,Programme Supplies,Medical and Health Supplies,59737.89,59765.95,USD,Restricted,GRT-2024-002-BL-15,Approved budget line 4.0 for GRT-2024-002
BDL-0169,GRT-2024-002,Training Venue and Accommodation,3.0,Training,Training Venue and Accommodation,37036.23,37036.23,USD,Flexible,GRT-2024-002-BL-16,Approved budget line 3.0 for GRT-2024-002
BDL-0170,GRT-2024-002,Office and Programme Stationery,4.2,Programme Supplies,Office and Programme Stationery,38814.47,38814.47,USD,Flexible,GRT-2024-002-BL-17,Approved budget line 4.2 for GRT-2024-002
BDL-0171,GRT-2024-002,Organisational Overhead Recovery,7.0,Indirect Costs,Organisational Overhead Recovery,96247.13,114972.58,USD,Restricted,GRT-2024-002-BL-18,Approved budget line 7.0 for GRT-2024-002
BDL-0172,GRT-2024-002,Community Mobilisation Activities,6.0,Programme Activities,Community Mobilisation Activities,69376.6,69376.6,USD,Flexible,GRT-2024-002-BL-19,Approved budget line 6.0 for GRT-2024-002
BDL-0173,GRT-2024-002,Domestic Travel and Accommodation,2.0,Travel,Domestic Travel and Accommodation,51874.31,46584.8,USD,Flexible,GRT-2024-002-BL-20,Approved budget line 2.0 for GRT-2024-002
BDL-0174,GRT-2024-003,National Staff Salaries,1.0,Personnel,National Staff Salaries,122888.49,122888.49,USD,Flexible,GRT-2024-003-BL-01,Approved budget line 1.0 for GRT-2024-003
BDL-0175,GRT-2024-003,Vehicles,5.2,Equipment,Vehicles,41055.56,41055.56,USD,Prior Approval Required,GRT-2024-003-BL-02,Approved budget line 5.2 for GRT-2024-003
BDL-0176,GRT-2024-003,ICT Equipment and Software,5.0,Equipment,ICT Equipment and Software,28715.47,33157.28,USD,Prior Approval Required,GRT-2024-003-BL-03,Approved budget line 5.0 for GRT-2024-003
BDL-0177,GRT-2024-003,International Travel,2.1,Travel,International Travel,33878.61,33878.61,USD,Prior Approval Required,GRT-2024-003-BL-04,Approved budget line 2.1 for GRT-2024-003
BDL-0178,GRT-2024-003,Domestic Travel and Accommodation,2.0,Travel,Domestic Travel and Accommodation,32774.16,33713.77,USD,Flexible,GRT-2024-003-BL-05,Approved budget line 2.0 for GRT-2024-003
BDL-0179,GRT-2024-003,Office and Programme Stationery,4.2,Programme Supplies,Office and Programme Stationery,43245.76,48507.9,USD,Flexible,GRT-2024-003-BL-06,Approved budget line 4.2 for GRT-2024-003
BDL-0180,GRT-2024-003,Monitoring and Evaluation,6.1,Programme Activities,Monitoring and Evaluation,27669.49,25997.95,USD,Flexible,GRT-2024-003-BL-07,Approved budget line 6.1 for GRT-2024-003
BDL-0181,GRT-2024-003,Training Venue and Accommodation,3.0,Training,Training Venue and Accommodation,32801.23,32801.23,USD,Flexible,GRT-2024-003-BL-08,Approved budget line 3.0 for GRT-2024-003
BDL-0182,GRT-2024-003,Community Mobilisation Activities,6.0,Programme Activities,Community Mobilisation Activities,57730.59,57730.59,USD,Flexible,GRT-2024-003-BL-09,Approved budget line 6.0 for GRT-2024-003
BDL-0183,GRT-2024-003,Agricultural Inputs and Seeds,4.1,Programme Supplies,Agricultural Inputs and Seeds,22443.35,25147.7,USD,Restricted,GRT-2024-003-BL-10,Approved budget line 4.1 for GRT-2024-003
BDL-0184,GRT-2024-003,International Staff Salaries,1.1,Personnel,International Staff Salaries,159009.74,159009.74,USD,Prior Approval Required,GRT-2024-003-BL-11,Approved budget line 1.1 for GRT-2024-003
BDL-0185,GRT-2024-003,Vehicle Fuel and Running Costs,2.2,Travel,Vehicle Fuel and Running Costs,35247.43,35247.43,USD,Flexible,GRT-2024-003-BL-12,Approved budget line 2.2 for GRT-2024-003
BDL-0186,GRT-2024-003,Construction Materials,9.1,Construction,Construction Materials,110290.99,110290.99,USD,Prior Approval Required,GRT-2024-003-BL-13,Approved budget line 9.1 for GRT-2024-003
BDL-0187,GRT-2024-003,Sub-grants to Partners,10.0,Sub-grants,Sub-grants to Partners,30883.02,30883.02,USD,Prior Approval Required,GRT-2024-003-BL-14,Approved budget line 10.0 for GRT-2024-003
BDL-0188,GRT-2024-003,Civil Works and Construction,9.0,Construction,Civil Works and Construction,91566.36,91566.36,USD,Prior Approval Required,GRT-2024-003-BL-15,Approved budget line 9.0 for GRT-2024-003
BDL-0189,GRT-2024-003,Organisational Overhead Recovery,7.0,Indirect Costs,Organisational Overhead Recovery,60799.76,60799.76,USD,Restricted,GRT-2024-003-BL-16,Approved budget line 7.0 for GRT-2024-003
BDL-0190,GRT-2021-001,Office Rent and Utilities,8.0,Operating Costs,Office Rent and Utilities,12076.28,12076.28,GBP,Restricted,GRT-2021-001-BL-01,Approved budget line 8.0 for GRT-2021-001
BDL-0191,GRT-2021-001,Medical and Health Supplies,4.0,Programme Supplies,Medical and Health Supplies,35268.48,33036.35,GBP,Restricted,GRT-2021-001-BL-02,Approved budget line 4.0 for GRT-2021-001
BDL-0192,GRT-2021-001,Domestic Travel and Accommodation,2.0,Travel,Domestic Travel and Accommodation,35004.71,35004.71,GBP,Flexible,GRT-2021-001-BL-03,Approved budget line 2.0 for GRT-2021-001
BDL-0193,GRT-2021-001,Furniture and Fittings,5.1,Equipment,Furniture and Fittings,27928.39,27383.74,GBP,Prior Approval Required,GRT-2021-001-BL-04,Approved budget line 5.1 for GRT-2021-001
BDL-0194,GRT-2021-001,Consultancy Fees,1.2,Personnel,Consultancy Fees,83787.75,83787.75,GBP,Flexible,GRT-2021-001-BL-05,Approved budget line 1.2 for GRT-2021-001
BDL-0195,GRT-2021-001,Vehicles,5.2,Equipment,Vehicles,40439.27,40439.27,GBP,Prior Approval Required,GRT-2021-001-BL-06,Approved budget line 5.2 for GRT-2021-001
BDL-0196,GRT-2021-001,Communication and Internet,8.1,Operating Costs,Communication and Internet,26141.03,27992.08,GBP,Flexible,GRT-2021-001-BL-07,Approved budget line 8.1 for GRT-2021-001
BDL-0197,GRT-2021-001,Facilitator and Expert Fees,3.2,Training,Facilitator and Expert Fees,33135.37,36032.49,GBP,Flexible,GRT-2021-001-BL-08,Approved budget line 3.2 for GRT-2021-001
BDL-0198,GRT-2021-001,Training Materials and Supplies,3.1,Training,Training Materials and Supplies,36199.88,36199.88,GBP,Flexible,GRT-2021-001-BL-09,Approved budget line 3.1 for GRT-2021-001
BDL-0199,GRT-2021-001,International Staff Salaries,1.1,Personnel,International Staff Salaries,80973.63,80973.63,GBP,Prior Approval Required,GRT-2021-001-BL-10,Approved budget line 1.1 for GRT-2021-001
BDL-0200,GRT-2021-001,International Travel,2.1,Travel,International Travel,33665.41,33665.41,GBP,Prior Approval Required,GRT-2021-001-BL-11,Approved budget line 2.1 for GRT-2021-001
BDL-0201,GRT-2021-001,Community Mobilisation Activities,6.0,Programme Activities,Community Mobilisation Activities,29012.99,25488.66,GBP,Flexible,GRT-2021-001-BL-12,Approved budget line 6.0 for GRT-2021-001
BDL-0202,GRT-2021-001,Organisational Overhead Recovery,7.0,Indirect Costs,Organisational Overhead Recovery,63633.85,63633.85,GBP,Restricted,GRT-2021-001-BL-13,Approved budget line 7.0 for GRT-2021-001
BDL-0203,GRT-2021-001,Civil Works and Construction,9.0,Construction,Civil Works and Construction,62611.51,62611.51,GBP,Prior Approval Required,GRT-2021-001-BL-14,Approved budget line 9.0 for GRT-2021-001
BDL-0204,GRT-2021-001,Training Venue and Accommodation,3.0,Training,Training Venue and Accommodation,14259.38,14259.38,GBP,Flexible,GRT-2021-001-BL-15,Approved budget line 3.0 for GRT-2021-001
BDL-0205,GRT-2021-001,Construction Materials,9.1,Construction,Construction Materials,42303.22,42303.22,GBP,Prior Approval Required,GRT-2021-001-BL-16,Approved budget line 9.1 for GRT-2021-001
BDL-0206,GRT-2021-001,National Staff Salaries,1.0,Personnel,National Staff Salaries,63979.59,63979.59,GBP,Flexible,GRT-2021-001-BL-17,Approved budget line 1.0 for GRT-2021-001
BDL-0207,GRT-2021-001,ICT Equipment and Software,5.0,Equipment,ICT Equipment and Software,36295.59,36295.59,GBP,Prior Approval Required,GRT-2021-001-BL-18,Approved budget line 5.0 for GRT-2021-001
BDL-0208,GRT-2021-001,Sub-grants to Partners,10.0,Sub-grants,Sub-grants to Partners,19930.71,19930.71,GBP,Prior Approval Required,GRT-2021-001-BL-19,Approved budget line 10.0 for GRT-2021-001
BDL-0209,GRT-2021-001,Vehicle Fuel and Running Costs,2.2,Travel,Vehicle Fuel and Running Costs,30852.95,30852.95,GBP,Flexible,GRT-2021-001-BL-20,Approved budget line 2.2 for GRT-2021-001
BDL-0210,GRT-2024-004,Domestic Travel and Accommodation,2.0,Travel,Domestic Travel and Accommodation,22955.25,22955.25,EUR,Flexible,GRT-2024-004-BL-01,Approved budget line 2.0 for GRT-2024-004
BDL-0211,GRT-2024-004,Communication and Internet,8.1,Operating Costs,Communication and Internet,65860.96,65860.96,EUR,Flexible,GRT-2024-004-BL-02,Approved budget line 8.1 for GRT-2024-004
BDL-0212,GRT-2024-004,Civil Works and Construction,9.0,Construction,Civil Works and Construction,83986.99,83986.99,EUR,Prior Approval Required,GRT-2024-004-BL-03,Approved budget line 9.0 for GRT-2024-004
BDL-0213,GRT-2024-004,Construction Materials,9.1,Construction,Construction Materials,146406.69,146406.69,EUR,Prior Approval Required,GRT-2024-004-BL-04,Approved budget line 9.1 for GRT-2024-004
BDL-0214,GRT-2024-004,Community Mobilisation Activities,6.0,Programme Activities,Community Mobilisation Activities,65340.42,65340.42,EUR,Flexible,GRT-2024-004-BL-05,Approved budget line 6.0 for GRT-2024-004
BDL-0215,GRT-2024-004,Consultancy Fees,1.2,Personnel,Consultancy Fees,194200.73,194200.73,EUR,Flexible,GRT-2024-004-BL-06,Approved budget line 1.2 for GRT-2024-004
BDL-0216,GRT-2024-004,ICT Equipment and Software,5.0,Equipment,ICT Equipment and Software,20751.01,20751.01,EUR,Prior Approval Required,GRT-2024-004-BL-07,Approved budget line 5.0 for GRT-2024-004
BDL-0217,GRT-2024-004,Office Rent and Utilities,8.0,Operating Costs,Office Rent and Utilities,37472.16,37472.16,EUR,Restricted,GRT-2024-004-BL-08,Approved budget line 8.0 for GRT-2024-004
BDL-0218,GRT-2024-004,Agricultural Inputs and Seeds,4.1,Programme Supplies,Agricultural Inputs and Seeds,61492.41,61492.41,EUR,Restricted,GRT-2024-004-BL-09,Approved budget line 4.1 for GRT-2024-004
BDL-0219,GRT-2024-004,National Staff Salaries,1.0,Personnel,National Staff Salaries,124054.76,124054.76,EUR,Flexible,GRT-2024-004-BL-10,Approved budget line 1.0 for GRT-2024-004
BDL-0220,GRT-2024-004,International Travel,2.1,Travel,International Travel,39706.49,39706.49,EUR,Prior Approval Required,GRT-2024-004-BL-11,Approved budget line 2.1 for GRT-2024-004
BDL-0221,GRT-2024-004,Sub-grants to Partners,10.0,Sub-grants,Sub-grants to Partners,27713.09,27713.09,EUR,Prior Approval Required,GRT-2024-004-BL-12,Approved budget line 10.0 for GRT-2024-004
BDL-0222,GRT-2024-004,Organisational Overhead Recovery,7.0,Indirect Costs,Organisational Overhead Recovery,63039.89,63039.89,EUR,Restricted,GRT-2024-004-BL-13,Approved budget line 7.0 for GRT-2024-004
BDL-0223,GRT-2024-004,Staff Benefits and Social Security,1.3,Personnel,Staff Benefits and Social Security,183707.78,183707.78,EUR,Restricted,GRT-2024-004-BL-14,Approved budget line 1.3 for GRT-2024-004
BDL-0224,GRT-2024-004,Furniture and Fittings,5.1,Equipment,Furniture and Fittings,63882.23,63882.23,EUR,Prior Approval Required,GRT-2024-004-BL-15,Approved budget line 5.1 for GRT-2024-004
BDL-0225,GRT-2024-004,Training Venue and Accommodation,3.0,Training,Training Venue and Accommodation,27897.17,27897.17,EUR,Flexible,GRT-2024-004-BL-16,Approved budget line 3.0 for GRT-2024-004
BDL-0226,GRT-2024-004,Monitoring and Evaluation,6.1,Programme Activities,Monitoring and Evaluation,43115.04,43115.04,EUR,Flexible,GRT-2024-004-BL-17,Approved budget line 6.1 for GRT-2024-004
BDL-0227,GRT-2024-004,Training Materials and Supplies,3.1,Training,Training Materials and Supplies,41615.55,41615.55,EUR,Flexible,GRT-2024-004-BL-18,Approved budget line 3.1 for GRT-2024-004
BDL-0228,GRT-2024-004,International Staff Salaries,1.1,Personnel,International Staff Salaries,174878.42,174878.42,EUR,Prior Approval Required,GRT-2024-004-BL-19,Approved budget line 1.1 for GRT-2024-004
BDL-0229,GRT-2024-004,Vehicle Fuel and Running Costs,2.2,Travel,Vehicle Fuel and Running Costs,31922.94,29927.79,EUR,Flexible,GRT-2024-004-BL-20,Approved budget line 2.2 for GRT-2024-004
